name,position,team,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
C.J. Uzomah,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordarrelle Patterson,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonnu Smith,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braxton Berrios,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamison Crowder,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie Chosen,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Hopkins,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Carr,QB,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Robinson,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keenan Allen,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odell Beckham Jr.,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Ertz,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Tucker,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandin Cooks,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Woods,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon McManus,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,WR,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dustin Hopkins,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Zuerlein,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Wilson,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Prater,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham Gano,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyree Jackson,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Sims,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Harty,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Ernest Johnson,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khari Blasingame,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakob Johnson,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pharaoh Brown,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Reynolds,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trenton Irwin,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donald Parham Jr.,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clyde Edwards-Helaire,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Akers,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Reagor,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ke'Shawn Vaughn,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack Moss,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrynton Evans,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Kelley,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Gibson,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laviska Shenault Jr.,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josiah Deguara,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Davis,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collin Johnson,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Proche II,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Sullivan,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Callaway,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaMycal Hasty,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Taylor,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvon Ahmed,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wolford,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trishton Jackson,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Ward,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buccaneers D/ST,DST,TB,0,0,0,0,0,0,0,0,0,0,0,0,1014,42,8,5,12,1,1,94.5
Packers D/ST,DST,GB,0,0,0,0,0,0,0,0,0,0,0,0,1013,41,11,7,12,1,1,89.2
